,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,age_group,education,race,sex,income_poverty,marital_status,rent_or_own,employment_status,hhs_geo_region,census_msa,household_adults,household_children,employment_industry,employment_occupation
doctor_recc_seasonal,0.1355670578748089,0.07192036329637888,0.030909396112766836,0.0740882567459384,0.0694810990597653,0.10204396027509455,0.09355711635160101,0.08562241655322118,0.10080817986519058,0.591867663364472,1,0.21380614939347142,0.03683155805434649,0.05940196900313611,0.11719478534420134,0.1186142029929479,0.16844301242933113,0.06717833935223574,0.18090244906386313,0.24008655441081167,0.025356487652024782,0.1706552782179681,0.0137124313210305,0.03195765884799591,0.07223283032649605,0.0191066051606719,0.023813075995740268,0.03446073417346958,0.1298514937274364,0.05149279688488828,0.014736593009510622,-0.04076939219141743,-0.04838022007902551,0.1582576670664582,0.14406495452130952
chronic_med_condition,0.09516207596154917,-0.022601804900348396,0.008465208916843627,0.039435395678971474,0.06811314027260908,0.0302597566439651,0.10472121526039867,0.09885820987590345,0.028876469143795568,0.15827515338418877,0.21380614939347142,1,-0.0013494883251830051,-0.02648113237807932,0.06608818947126543,0.044144543287693204,0.12165710235287452,0.08194287187093428,0.09173722073297587,0.1620611169023481,0.0525872337626485,0.21074406768298376,0.08976913995415615,0.04909663922341608,0.04997754168202238,0.10853262945369295,0.06007945071760946,0.018101733561764765,0.19068821747834433,0.042597974827728355,0.02812329456965072,-0.07134645119059896,-0.10823716854298618,0.07961085904349414,0.08648340267604883
child_under_6_months,0.04957434369594782,0.021597627023193885,0.028787519282995767,-0.0004143035534651039,0.03972559941633098,0.03618818789764476,0.02116829962543701,0.018194664979729085,0.026639594287426297,0.07938929164143929,0.03683155805434649,-0.0013494883251830051,1,0.07907821280898028,-0.02683580293009193,0.007093676260616118,0.08651641671227617,0.037212315386636136,0.0036531328350925545,0.050266617455847894,0.03758247251280036,0.10719418696675408,0.04332317529951279,0.05639762458137891,0.034508733706450204,0.04291244242285514,0.03136513138137184,0.01979790654283044,0.04674334310450074,0.018842265256934575,0.02263417264779236,0.044827854530103746,0.09956180835893733,0.1468677297221372,0.14901341162389756
health_worker,0.033561880503967065,0.17025222998037828,0.009465066928334064,0.0011797346070703324,0.06999193325148546,0.053761183951042055,-0.03231925031076599,-0.03461870850140729,0.0676478812637594,0.10163890628884442,0.05940196900313611,-0.02648113237807932,0.07907821280898028,1,0.046680017612614276,0.05358067932549339,0.12386926862403598,0.00901486637758666,0.03039462290217779,0.08914229034452933,-0.017893488646629332,0.10939463109474627,0.12028604845711055,0.02033942587248366,0.10934397512364188,0.09372678845625693,0.012759461725997675,0.02761408577518236,0.2208116531881416,0.030729320649864198,0.00701093495003845,0.01337962740056141,0.037697680347458164,0.7572379438633822,0.7035229596369611
health_insurance,-0.0036546334579267868,0.11940849035545194,-0.06398821985085237,0.03266222141994507,-0.04025675492330735,0.031919416330243346,-0.05900007382687948,-0.06138115416849119,0.011024498338899664,0.06715664889454757,0.11719478534420134,0.06608818947126543,-0.02683580293009193,0.046680017612614276,1,0.0586748496706402,0.0057657070217488025,-0.03331411138591558,0.09124705452405805,0.05023248520339934,-0.06588589382261581,0.2329243656990301,0.17896273980867752,0.19607420398450823,0.06523841466977008,0.27143577165171856,0.13426445918365365,0.20544957259329913,0.23050694926992737,0.07066486802567619,0.06270869502146544,-0.07869727927236812,-0.06940193406638097,0.2806641136782396,0.2932775157655643
opinion_h1n1_vacc_effective,0.23960427588328606,0.1210085337809082,0.03021054552116277,0.11229970224344046,0.03765147026224483,0.13698724360855485,0.052298616110218424,0.050748003213297796,0.1041258914799197,0.15230459912692415,0.1186142029929479,0.044144543287693204,0.007093676260616118,0.05358067932549339,0.0586748496706402,1,0.26130398188495424,0.06237152920846842,0.47246711789613594,0.2581726868405161,0.01249115925425592,0.025285790359161505,0.08208914437884454,0.044399974105156066,0.017143634951703558,0.06301012793164282,0.027808387942758226,0.024432363470594326,0.018059507295851027,0.05356969765532194,0.020925153963463644,0.010970012213208973,-0.01524215933046083,0.11763178442324425,0.11888269150663308
opinion_h1n1_risk,0.3770328126230567,0.07308598385278184,0.1051631788281508,0.1178508875779282,0.13116480672137343,0.16871118553747036,0.12646250200369266,0.12554914576023568,0.14607998597788027,0.2628258764271389,0.16844301242933113,0.12165710235287452,0.08651641671227617,0.12386926862403598,0.0057657070217488025,0.26130398188495424,1,0.3350616829138996,0.22446905132976022,0.5642077579627028,0.19860140883677607,0.07082807217270305,0.05556621208105207,0.09010356502598314,0.09302261083783385,0.08023195981460467,0.02435812878605782,0.03737791873369813,0.014737371783701545,0.030488539821590735,0.00603590644947187,0.03018121978980922,0.09532473512678713,0.20844299687198917,0.20968618883234483
opinion_h1n1_sick_from_vacc,0.3600697383652842,-0.01950083500260194,0.07909059919774089,0.13140535304319073,0.10712924674233558,0.15002394451716206,0.18592389968359282,0.17483429083985877,0.13177231228812575,0.11311121314842094,0.06717833935223574,0.08194287187093428,0.037212315386636136,0.00901486637758666,-0.03331411138591558,0.06237152920846842,0.3350616829138996,1,0.0780965400769688,0.2670132654446038,0.4915461182139089,0.050607980852450586,0.09173514815831255,0.12291913877798674,0.09073070168136181,0.10984458364982679,0.0004022976872316553,0.06294541068509144,0.04234189549619441,0.04999205019809895,0.0025084017417190798,0.014768931048866351,0.07116353103830608,0.06546207492579006,0.08149532213073431
opinion_seas_vacc_effective,0.23513594593979842,0.0861031840402147,0.01500257665930986,0.11955384139555418,0.04155564393278882,0.1385167458602026,0.07849066962638354,0.06746948590691586,0.10579756371974126,0.10751204628371114,0.18090244906386313,0.09173722073297587,0.0036531328350925545,0.03039462290217779,0.09124705452405805,0.47246711789613594,0.22446905132976022,0.0780965400769688,1,0.3448003362496316,-0.017340166411280732,0.14383725066685174,0.035747826933731776,0.07137330943559794,0.051251043594053164,0.04219051709280596,0.014947434176489034,0.046097122772239894,0.09301726989501803,0.03800857925692941,0.01092907662009384,-0.022578925728173063,-0.07650281413394122,0.10777656082271797,0.09714421559594116
opinion_seas_risk,0.3339895008732969,0.07682459751016128,0.08531537720282088,0.12950414428890225,0.11016060192075622,0.17246435791470746,0.13286525397666815,0.12023709043534683,0.14373496681266162,0.20231991333381535,0.24008655441081167,0.1620611169023481,0.050266617455847894,0.08914229034452933,0.05023248520339934,0.2581726868405161,0.5642077579627028,0.2670132654446038,0.3448003362496316,1,0.20037874122869734,0.03647719767624103,0.03689224568157384,0.055738783243097625,0.0910959728586086,0.03167473535710714,0.027965139671980374,0.0021183387416810443,0.043411583114296354,0.02656720960203113,0.01195409282934371,0.006111394720631751,0.025897662951476472,0.17707885734986797,0.16349978284391753
opinion_seas_sick_from_vacc,0.2257313714097453,-0.06248292905730443,0.08430457323908726,0.08294177103360453,0.09000946626508807,0.08802934924704718,0.1354462678893524,0.138132634135899,0.0900972397809491,0.0571277636045081,0.025356487652024782,0.0525872337626485,0.03758247251280036,-0.017893488646629332,-0.06588589382261581,0.01249115925425592,0.19860140883677607,0.4915461182139089,-0.017340166411280732,0.20037874122869734,1,0.07049401761339714,0.11516790469768912,0.14946583210488715,0.042406806531488934,0.12456858513941238,0.022281274082612962,0.08686889908193947,0.03774863795074154,0.05131778564268684,0.010882362693020897,0.02292486795380335,0.05728585948016691,0.06571847368678334,0.10386466903835335
age_group,0.0892016588300397,0.1515604908064279,0.09550992206065304,0.041418513358868994,0.009756359584191307,0.044745569370685745,0.10012864723259401,0.09786894333399802,0.06524713458881022,0.024450543143094732,0.1706552782179681,0.21074406768298376,0.10719418696675408,0.10939463109474627,0.2329243656990301,0.025285790359161505,0.07082807217270305,0.050607980852450586,0.14383725066685174,0.03647719767624103,0.07049401761339714,1,0.09288624005639598,0.10744199598100165,0.06958209348551832,0.18287865977296208,0.19403389420127362,0.2682732648936948,0.3774768349818647,0.02024522441475895,0.05361615324534984,0.26321828490323185,0.5133131094702497,0.11208086989096935,0.1066735346953533
education,0.07159061110964626,0.3247010310213413,0.07066286082214855,0.021119200244136917,0.07096025383055704,0.02157835475009041,0.17699896531205947,0.20185788791296325,0.057071996368530956,0.03234773643861132,0.0137124313210305,0.08976913995415615,0.04332317529951279,0.12028604845711055,0.17896273980867752,0.08208914437884454,0.05556621208105207,0.09173514815831255,0.035747826933731776,0.03689224568157384,0.11516790469768912,0.09288624005639598,1,0.12065022940353266,0.04638785039115884,0.32036627844960924,0.15343510652203524,0.17975227231524088,0.16247919820978868,0.07922206427955836,0.10498201937160312,0.024182005701596405,0.055162206571285836,0.24762443808369985,0.3375038704893166
race,0.13073326387977252,0.15103370963028465,0.1395741211551655,0.008461456705160521,0.09991131559420413,0.06610735322325227,0.11569611984994375,0.1285395856566716,0.05723746414381484,0.017955651493238772,0.03195765884799591,0.04909663922341608,0.05639762458137891,0.02033942587248366,0.19607420398450823,0.044399974105156066,0.09010356502598314,0.12291913877798674,0.07137330943559794,0.055738783243097625,0.14946583210488715,0.10744199598100163,0.12065022940353269,1,0.04114787396608664,0.16956768447437665,0.1441104987947236,0.23369546970984928,0.06561366086566547,0.1793856642969562,0.11064542130757134,0.10769016321176327,0.16645409784686394,0.09594098846902673,0.12646932659296342
sex,0.12761371573474906,0.06733452769722725,0.006185182263621551,0.11395694368443861,0.04998603992638065,0.15725566787478276,0.05614473916520638,0.03942310804319285,0.1633254753723602,0.042447750675707385,0.07223283032649605,0.04997754168202238,0.034508733706450204,0.10934397512364188,0.06523841466977008,0.017143634951703558,0.09302261083783385,0.09073070168136181,0.051251043594053164,0.0910959728586086,0.042406806531488934,0.06958209348551832,0.046387850391158836,0.04114787396608664,1,0.07901416052947996,0.051907624759914874,0.019949905365422904,0.13443503854602154,0.019313478504496485,0.016503716496710858,0.06479933020378782,0.028112058125239817,0.3993651602695734,0.45583705297498317
income_poverty,0.08072386254370434,0.24906708782842252,0.10065682751174908,0.02841701340691447,0.08038574494143134,0.019484948033864607,0.16924814449108624,0.18991908097020793,0.043366373538051076,0.02270727393507583,0.0191066051606719,0.10853262945369295,0.04291244242285514,0.09372678845625693,0.27143577165171856,0.06301012793164282,0.08023195981460467,0.10984458364982679,0.04219051709280596,0.03167473535710714,0.12456858513941238,0.18287865977296208,0.32036627844960924,0.16956768447437665,0.07901416052947997,1,0.3310524572759821,0.34053530967302686,0.21208238834088225,0.0914352512885988,0.09104899231695682,0.19155917760967625,0.18478097573338265,0.20675366630834072,0.272155781815835
marital_status,0.029991757872942417,0.13427833363656455,0.012960618710265695,0.05518477504491591,0.008526922090337351,0.04522385950440591,0.03017606265117509,0.031129276841205568,0.031623930926852124,0.025218927642152323,0.023813075995740268,0.06007945071760946,0.03136513138137184,0.012759461725997675,0.13426445918365365,0.027808387942758226,0.02435812878605782,0.0004022976872316553,0.014947434176489034,0.027965139671980374,0.022281274082612962,0.19403389420127362,0.15343510652203524,0.1441104987947236,0.051907624759914874,0.33105245727598215,1,0.2877408398446403,0.11866172223080838,0.04883791196437996,0.09258055234346069,0.38618633617246656,0.20829057390376107,0.12829746059774538,0.14701403369928537
rent_or_own,0.0011214287301025828,0.13121128423271006,0.06560606343181487,0.03566326707548604,0.05105606576283796,0.02068528810766474,0.05299408937877951,0.07150850230136005,0.019906976905609743,0.0007931169523570091,0.03446073417346958,0.018101733561764765,0.01979790654283044,0.02761408577518236,0.20544957259329913,0.024432363470594326,0.03737791873369813,0.06294541068509144,0.046097122772239894,0.0021183387416810443,0.08686889908193947,0.2682732648936948,0.17975227231524088,0.23369546970984925,0.0199499053654229,0.34053530967302686,0.2877408398446403,1,0.10465481239197467,0.0760012270003424,0.13692286419269425,0.0935431128435621,0.01028253639019301,0.19750544358381697,0.21294160099446272
employment_status,0.05964536645757147,0.1488982264686453,0.02803180505762018,0.016297852953457745,0.03704670732412199,0.018361919988601677,0.15333983978135782,0.15984597232336256,0.03326927415157304,0.040515336536220144,0.1298514937274364,0.19068821747834433,0.04674334310450074,0.2208116531881416,0.23050694926992737,0.018059507295851027,0.014737371783701545,0.04234189549619441,0.09301726989501803,0.043411583114296354,0.03774863795074154,0.37747683498186463,0.1624791982097887,0.06561366086566547,0.13443503854602154,0.21208238834088225,0.1186617222308084,0.10465481239197467,1,0.05820665560642863,0.031216924157278333,0.11510029530590761,0.16894059977740927,,
hhs_geo_region,0.0798270513695344,0.1001244808858058,0.048963155168656514,0.032890852559941286,0.04645340473557114,0.043625015299129974,0.07735421997077893,0.08491459031720888,0.031869629244032874,0.06138036413595518,0.05149279688488828,0.042597974827728355,0.018842265256934575,0.030729320649864198,0.07066486802567619,0.05356969765532194,0.030488539821590735,0.04999205019809895,0.03800857925692941,0.02656720960203113,0.05131778564268684,0.02024522441475895,0.07922206427955837,0.1793856642969562,0.019313478504496485,0.09143525128859882,0.04883791196437996,0.07600122700034238,0.05820665560642863,1,0.19747412376870468,0.04572453156117927,0.03978691234749362,0.07239191090151934,0.05010677150692005
census_msa,0.0071758290088717635,0.061614401607182914,0.023095156302217885,0.034353427187803286,0.022099994526704067,0.018722340032006114,0.04776259737184275,0.03644978313245657,0.022530254445331188,0.0094314548934326,0.014736593009510622,0.02812329456965072,0.02263417264779236,0.00701093495003845,0.06270869502146544,0.020925153963463644,0.00603590644947187,0.0025084017417190798,0.01092907662009384,0.01195409282934371,0.010882362693020897,0.053616153245349844,0.10498201937160315,0.11064542130757134,0.016503716496710858,0.09104899231695682,0.09258055234346069,0.13692286419269425,0.03121692415727833,0.19747412376870468,1,0.0544857426143249,0.04149074721179172,0.14145495499184219,0.12271041521428903
household_adults,-0.01565846382609217,0.024873810968049744,0.04489997218880064,0.019121772931499796,0.013990869453319862,0.009669317349583808,-0.031938135856990804,-0.027527235059394944,-0.0005529748319996625,0.004112125700811879,-0.04076939219141743,-0.07134645119059896,0.044827854530103746,0.01337962740056141,-0.07869727927236812,0.010970012213208973,0.03018121978980922,0.014768931048866351,-0.022578925728173063,0.006111394720631751,0.02292486795380335,0.26321828490323185,0.024182005701596405,0.10769016321176327,0.06479933020378782,0.19155917760967625,0.38618633617246656,0.0935431128435621,0.11510029530590761,0.04572453156117927,0.0544857426143249,1,0.18957094841701386,0.08246965347511023,0.08695219505886347
household_children,0.0505245371845069,0.05058326459519497,0.08482171514639462,0.040328399237280974,0.005825535463355385,0.04776363268548075,-0.009448681932457013,-0.00955779831672396,0.02360628880624221,0.029039996536227113,-0.04838022007902551,-0.10823716854298618,0.09956180835893733,0.037697680347458164,-0.06940193406638097,-0.01524215933046083,0.09532473512678713,0.07116353103830608,-0.07650281413394122,0.025897662951476472,0.05728585948016691,0.5133131094702497,0.055162206571285836,0.16645409784686394,0.028112058125239817,0.18478097573338265,0.20829057390376107,0.01028253639019301,0.16894059977740927,0.03978691234749362,0.04149074721179172,0.18957094841701386,1,0.06889452791454347,0.0774737178098752
employment_industry,0.13759841328825573,0.2550667013436689,0.05743318677598259,0.072975245390263,0.13524180132577848,0.14574180583183255,0.11251138401856221,0.12394181448585125,0.16637958516005236,0.17344454910248852,0.1582576670664582,0.07961085904349414,0.1468677297221372,0.7572379438633822,0.2806641136782396,0.11763178442324425,0.20844299687198917,0.06546207492579006,0.10777656082271797,0.17707885734986797,0.06571847368678334,0.11208086989096935,0.24762443808369985,0.09594098846902673,0.3993651602695734,0.20675366630834074,0.1282974605977454,0.19750544358381697,,0.07239191090151932,0.14145495499184216,0.08246965347511023,0.06889452791454347,1,0.493227096694024
employment_occupation,0.1285724421173055,0.29875371835618997,0.09001670700662086,0.09205967222446883,0.12961407649282922,0.1407669594091469,0.15631621527941306,0.1590127714071216,0.16069654230802793,0.16609981484634967,0.14406495452130952,0.08648340267604883,0.14901341162389756,0.7035229596369611,0.2932775157655643,0.11888269150663308,0.20968618883234483,0.08149532213073431,0.09714421559594116,0.16349978284391753,0.10386466903835335,0.1066735346953533,0.33750387048931657,0.12646932659296342,0.45583705297498306,0.272155781815835,0.14701403369928537,0.21294160099446272,,0.05010677150692004,0.12271041521428903,0.08695219505886347,0.0774737178098752,0.493227096694024,1
