,h1n1_concern,h1n1_knowledge,behavioral_antiviral_meds,behavioral_avoidance,behavioral_face_mask,behavioral_wash_hands,behavioral_large_gatherings,behavioral_outside_home,behavioral_touch_face,doctor_recc_h1n1,doctor_recc_seasonal,chronic_med_condition,child_under_6_months,health_worker,health_insurance,opinion_h1n1_vacc_effective,opinion_h1n1_risk,opinion_h1n1_sick_from_vacc,opinion_seas_vacc_effective,opinion_seas_risk,opinion_seas_sick_from_vacc,household_adults,household_children
child_under_6_months,0.04957434369594782,0.021597627023193885,0.028787519282995767,-0.0004143035534651039,0.03972559941633098,0.03618818789764476,0.02116829962543701,0.018194664979729085,0.026639594287426297,0.07938929164143929,0.03683155805434649,-0.0013494883251830051,1.0,0.07907821280898028,-0.02683580293009193,0.007093676260616118,0.08651641671227617,0.037212315386636136,0.0036531328350925545,0.050266617455847894,0.03758247251280036,0.044827854530103746,0.09956180835893733
health_worker,0.033561880503967065,0.17025222998037828,0.009465066928334064,0.0011797346070703324,0.06999193325148546,0.053761183951042055,-0.03231925031076599,-0.03461870850140729,0.0676478812637594,0.10163890628884442,0.05940196900313611,-0.02648113237807932,0.07907821280898028,1.0,0.046680017612614276,0.05358067932549339,0.12386926862403598,0.00901486637758666,0.03039462290217779,0.08914229034452933,-0.017893488646629332,0.01337962740056141,0.037697680347458164
health_insurance,-0.0036546334579267868,0.11940849035545194,-0.06398821985085237,0.03266222141994507,-0.04025675492330735,0.031919416330243346,-0.05900007382687948,-0.06138115416849119,0.011024498338899664,0.06715664889454757,0.11719478534420134,0.06608818947126543,-0.02683580293009193,0.046680017612614276,1.0,0.0586748496706402,0.0057657070217488025,-0.03331411138591558,0.09124705452405805,0.05023248520339934,-0.06588589382261581,-0.07869727927236812,-0.06940193406638097
opinion_h1n1_vacc_effective,0.23960427588328606,0.1210085337809082,0.03021054552116277,0.11229970224344046,0.03765147026224483,0.13698724360855485,0.052298616110218424,0.050748003213297796,0.1041258914799197,0.15230459912692415,0.1186142029929479,0.044144543287693204,0.007093676260616118,0.05358067932549339,0.0586748496706402,1.0,0.26130398188495424,0.06237152920846842,0.47246711789613594,0.2581726868405161,0.01249115925425592,0.010970012213208973,-0.01524215933046083
opinion_h1n1_risk,0.3770328126230567,0.07308598385278184,0.1051631788281508,0.1178508875779282,0.13116480672137343,0.16871118553747036,0.12646250200369266,0.12554914576023568,0.14607998597788027,0.2628258764271389,0.16844301242933113,0.12165710235287452,0.08651641671227617,0.12386926862403598,0.0057657070217488025,0.26130398188495424,1.0,0.3350616829138996,0.22446905132976022,0.5642077579627028,0.19860140883677607,0.03018121978980922,0.09532473512678713
opinion_h1n1_sick_from_vacc,0.3600697383652842,-0.01950083500260194,0.07909059919774089,0.13140535304319073,0.10712924674233558,0.15002394451716206,0.18592389968359282,0.17483429083985877,0.13177231228812575,0.11311121314842094,0.06717833935223574,0.08194287187093428,0.037212315386636136,0.00901486637758666,-0.03331411138591558,0.06237152920846842,0.3350616829138996,1.0,0.0780965400769688,0.2670132654446038,0.4915461182139089,0.014768931048866351,0.07116353103830608
opinion_seas_vacc_effective,0.23513594593979842,0.0861031840402147,0.01500257665930986,0.11955384139555418,0.04155564393278882,0.1385167458602026,0.07849066962638354,0.06746948590691586,0.10579756371974126,0.10751204628371114,0.18090244906386313,0.09173722073297587,0.0036531328350925545,0.03039462290217779,0.09124705452405805,0.47246711789613594,0.22446905132976022,0.0780965400769688,1.0,0.3448003362496316,-0.017340166411280732,-0.022578925728173063,-0.07650281413394122
opinion_seas_risk,0.3339895008732969,0.07682459751016128,0.08531537720282088,0.12950414428890225,0.11016060192075622,0.17246435791470746,0.13286525397666815,0.12023709043534683,0.14373496681266162,0.20231991333381535,0.24008655441081167,0.1620611169023481,0.050266617455847894,0.08914229034452933,0.05023248520339934,0.2581726868405161,0.5642077579627028,0.2670132654446038,0.3448003362496316,1.0,0.20037874122869734,0.006111394720631751,0.025897662951476472
opinion_seas_sick_from_vacc,0.2257313714097453,-0.06248292905730443,0.08430457323908726,0.08294177103360453,0.09000946626508807,0.08802934924704718,0.1354462678893524,0.138132634135899,0.0900972397809491,0.0571277636045081,0.025356487652024782,0.0525872337626485,0.03758247251280036,-0.017893488646629332,-0.06588589382261581,0.01249115925425592,0.19860140883677607,0.4915461182139089,-0.017340166411280732,0.20037874122869734,1.0,0.02292486795380335,0.05728585948016691
household_adults,-0.01565846382609217,0.024873810968049744,0.04489997218880064,0.019121772931499796,0.013990869453319862,0.009669317349583808,-0.031938135856990804,-0.027527235059394944,-0.0005529748319996625,0.004112125700811879,-0.04076939219141743,-0.07134645119059896,0.044827854530103746,0.01337962740056141,-0.07869727927236812,0.010970012213208973,0.03018121978980922,0.014768931048866351,-0.022578925728173063,0.006111394720631751,0.02292486795380335,1.0,0.18957094841701386
household_children,0.0505245371845069,0.05058326459519497,0.08482171514639462,0.040328399237280974,0.005825535463355385,0.04776363268548075,-0.009448681932457013,-0.00955779831672396,0.02360628880624221,0.029039996536227113,-0.04838022007902551,-0.10823716854298618,0.09956180835893733,0.037697680347458164,-0.06940193406638097,-0.01524215933046083,0.09532473512678713,0.07116353103830608,-0.07650281413394122,0.025897662951476472,0.05728585948016691,0.18957094841701386,1.0
